,ROOM,FLOR,AREA,TYPE,EVAL,PRIC,OLD,SUBC,SUBD,CEDT,DISC
380,1,2,44.6,0,1,130045,1989,1,477,7.3987217281426245,3
381,2,1,57.7,2,0,103987,1984,2,645,10.018291541252703,3
382,1,2,44.57,0,1,120709,1988,1,634,8.425142846104638,3
383,3,2,150.73,2,1,94540,2011,1,563,17.48521899317965,3
384,3,1,142.44,2,1,130582,2006,1,492,11.694776870572813,3
385,4,2,161.1,2,0,90007,1997,1,872,9.63090434396678,3
386,3,2,132.64,2,1,109319,2004,1,697,10.079423191055387,3
387,3,1,117.95,1,1,95634,1995,2,725,9.784259300384605,3
388,3,1,114.87,1,1,73823,2004,2,927,17.60185614505095,3
389,3,1,167.49,0,1,112724,2003,1,930,7.84658143400031,3
390,1,1,47.1,2,0,100850,1997,1,864,12.215658353795266,3
391,2,1,84.86,0,1,147302,2002,2,718,10.669763362816258,3
392,1,2,43.5,1,1,122529,1986,1,950,8.216476215573149,3
393,1,1,45.5,2,0,103077,1996,1,828,5.662124013643746,3
394,2,2,54.13,1,1,98282,1982,1,260,7.301474270790083,3
395,3,0,94.13,2,0,86052,2011,1,664,19.2238695701705,3
396,3,0,58.9,2,0,99491,1983,1,393,10.916330126336504,3
397,2,2,60.9,2,0,90312,1994,1,841,10.063214913231251,3
